status,accident_index,accident_year,accident_reference,vehicle_reference,vehicle_type,vehicle_text
Unvalidated,2022201213864,2022,201213864,1,90,Scooter - Electric Scooter
Unvalidated,2022991184249,2022,991184249,2,90,Scooter - Electric Scooter
Unvalidated,2022991187423,2022,991187423,1,90,Scooter - Electric Scooter
Unvalidated,2022991192216,2022,991192216,1,90,Scooter - Electric Scooter
Unvalidated,2022010361764,2022,010361764,1,90,Scooter - Electric Scooter
Unvalidated,2022010361879,2022,010361879,1,90,Scooter - Electric Scooter
Unvalidated,2022010361973,2022,010361973,3,90,Scooter - Electric Scooter
Unvalidated,2022010362009,2022,010362009,2,90,Scooter - Electric Scooter
Unvalidated,2022010362139,2022,010362139,1,90,Scooter - Electric Scooter
Unvalidated,2022010362165,2022,010362165,2,90,Scooter - Electric Scooter
Unvalidated,2022010362633,2022,010362633,2,90,Scooter - Electric Scooter
Unvalidated,2022010362811,2022,010362811,2,90,Scooter - Electric Scooter
Unvalidated,2022010363001,2022,010363001,2,90,Scooter - Electric Scooter
Unvalidated,2022010363321,2022,010363321,2,90,Scooter - Electric Scooter
Unvalidated,2022010363380,2022,010363380,1,90,Scooter - Electric Scooter
Unvalidated,2022010363428,2022,010363428,1,90,Scooter - Electric Scooter
Unvalidated,2022010363795,2022,010363795,1,90,Scooter - Electric Scooter
Unvalidated,2022010363849,2022,010363849,1,90,Scooter - Electric Scooter
Unvalidated,2022010364384,2022,010364384,1,90,Scooter - Electric Scooter
Unvalidated,2022010364477,2022,010364477,2,90,Scooter - Electric Scooter
Unvalidated,2022010364669,2022,010364669,1,90,Scooter - Electric Scooter
Unvalidated,2022010365012,2022,010365012,2,90,Scooter - Electric Scooter
Unvalidated,2022010365162,2022,010365162,1,90,Scooter - Electric Scooter
Unvalidated,2022010365467,2022,010365467,2,90,Scooter - Electric Scooter
Unvalidated,2022010365534,2022,010365534,1,90,Scooter - Electric Scooter
Unvalidated,2022010366158,2022,010366158,2,90,Scooter - Electric Scooter
Unvalidated,2022010366277,2022,010366277,2,90,Scooter - Electric Scooter
Unvalidated,2022010366336,2022,010366336,1,90,Scooter - Electric Scooter
Unvalidated,2022010366572,2022,010366572,1,90,Scooter - Electric Scooter
Unvalidated,2022010366641,2022,010366641,2,90,Scooter - Electric Scooter
Unvalidated,2022010367125,2022,010367125,2,90,Scooter - Electric Scooter
Unvalidated,2022010367133,2022,010367133,2,90,Scooter - Electric Scooter
Unvalidated,2022010367180,2022,010367180,1,90,Scooter - Electric Scooter
Unvalidated,2022010367185,2022,010367185,1,90,Scooter - Electric Scooter
Unvalidated,2022010367303,2022,010367303,1,90,Scooter - Electric Scooter
Unvalidated,2022010367442,2022,010367442,2,90,Scooter - Electric Scooter
Unvalidated,2022010367467,2022,010367467,2,90,Scooter - Electric Scooter
Unvalidated,2022010367523,2022,010367523,1,90,Scooter - Electric Scooter
Unvalidated,2022010367589,2022,010367589,2,90,Scooter - Electric Scooter
Unvalidated,2022010367836,2022,010367836,2,90,Scooter - Electric Scooter
Unvalidated,2022010367837,2022,010367837,1,90,Scooter - Electric Scooter
Unvalidated,2022010367858,2022,010367858,2,90,Scooter - Electric Scooter
Unvalidated,2022010367940,2022,010367940,2,90,Scooter - Electric Scooter
Unvalidated,2022010368020,2022,010368020,2,90,Scooter - Electric Scooter
Unvalidated,2022010368065,2022,010368065,2,90,Scooter - Electric Scooter
Unvalidated,2022010368204,2022,010368204,2,90,Scooter - Electric Scooter
Unvalidated,2022010368408,2022,010368408,1,90,Scooter - Electric Scooter
Unvalidated,2022010368669,2022,010368669,1,90,Scooter - Electric Scooter
Unvalidated,2022201216559,2022,201216559,1,90,Scooter - Electric Scooter
Unvalidated,2022201219184,2022,201219184,2,90,Scooter - Electric Scooter
Unvalidated,2022201219565,2022,201219565,2,90,Scooter - Electric Scooter
Unvalidated,2022201227130,2022,201227130,1,90,Scooter - Electric Scooter
Unvalidated,2022211170221,2022,211170221,2,90,Scooter - Electric Scooter
Unvalidated,2022221130459,2022,221130459,1,90,Scooter - Electric Scooter
Unvalidated,2022221131772,2022,221131772,1,90,Scooter - Electric Scooter
Unvalidated,2022221173288,2022,221173288,1,90,Scooter - Electric Scooter
Unvalidated,2022221189099,2022,221189099,2,90,Scooter - Electric Scooter
Unvalidated,2022221191067,2022,221191067,1,90,Scooter - Electric Scooter
Unvalidated,2022221198887,2022,221198887,1,90,Scooter - Electric Scooter
Unvalidated,2022231131997,2022,231131997,1,90,Scooter - Electric Scooter
Unvalidated,2022231170147,2022,231170147,1,90,Scooter - Electric Scooter
Unvalidated,2022231173115,2022,231173115,2,90,Scooter - Electric Scooter
Unvalidated,2022231180253,2022,231180253,1,90,Scooter - Electric Scooter
Unvalidated,2022231183527,2022,231183527,1,90,Scooter - Electric Scooter
Unvalidated,2022302200030,2022,302200030,1,90,Scooter - Electric Scooter
Unvalidated,2022302200511,2022,302200511,2,90,Scooter - Electric Scooter
Unvalidated,2022302200609,2022,302200609,1,90,Scooter - Electric Scooter
Unvalidated,2022302200748,2022,302200748,2,90,Scooter - Electric Scooter
Unvalidated,2022302200889,2022,302200889,1,90,Scooter - Electric Scooter
